"Refs","Value","Qty"
"C1","10uF","1"
"C2","22uF","1"
"C3,C4","1uF","2"
"C5-C10","100nF","6"
"D1","15V","1"
"D2","Schottky (e.g. SS14)","1"
"J1","Track +","1"
"J2","Track -","1"
"J3","Motor A phase U","1"
"J4","Motor A phase V","1"
"J5","Motor A phase W","1"
"J6","Motor B phase U","1"
"J7","Motor B phase V","1"
"J8","Motor B phase W","1"
"L1","10uH","1"
"Q1-Q13","CSD16327Q3","13"
"R1,R3,R5,R6,R12,R18,R23,R28,R30,R37,R42,R47,R49","10k","13"
"R2","86k","1"
"R4,R31,R50","5mOhm 1W","3"
"R7,R8","1k","2"
"R9,R10","20k","2"
"R11,R17,R19,R22,R24,R27,R29,R36,R38,R41,R43,R46,R48","47k","13"
"R13,R14,R32,R33","10k (verify vs datasheet)","4"
"R15,R16,R20,R21,R25,R26,R34,R35,R39,R40,R44,R45","10R","12"
"U1","AP3012","1"
"U2","AP2204K-3.3","1"
"U3","MCP6002-xSN","1"
"U4","DRV8300D (A)","1"
"U5,U7","INA180A2","2"
"U6","DRV8300D (B)","1"
"U8","Nucleo-G474RE","1"
